kind,date,ticker,entry1,entry2,target1,target2,sl,strike,premium,opt_type,dte,moneyness_pct,status,fill_px,days_to_resolve,ret_pct,mtm_pct
stock,2023-09-06,MARA,12.15,10.8,17.0,,10.3,,,,,,LOSS,11.87,3,-15.2,4.5
stock,2023-09-07,JNJ,160.0,151.0,184.0,,146.0,,,,,,LOSS,159.14,36,-8.5,65.3
stock,2023-09-07,AAPL,177.0,162.0,193.0,,158.0,,,,,,WIN,175.18,62,10.2,76.2
stock,2023-09-07,BHVN,19.2,16.4,24.0,27.0,15.2,,,,,,WIN,18.55,14,29.4,-14.0
stock,2023-09-11,PEP,179.0,172.0,187.0,194.0,169.0,,,,,,LOSS,176.83,16,-5.2,-18.4
stock,2023-09-12,IWM,185.2,182.0,190.0,,180.0,,,,,,LOSS,184.04,6,-2.3,61.7
stock,2023-09-14,MLI,75.15,68.0,84.0,,73.0,,,,,,LOSS,18.39,0,1.5,207.2
stock,2023-09-14,SONY,86.5,83.0,96.0,,81.0,,,,,,LOSS,17.19,0,0.7,21.0
stock,2023-09-14,CNI,115.0,108.0,128.0,,106.0,,,,,,LOSS,112.48,24,-6.3,8.1
stock,2023-10-02,AMZN,129.0,124.0,138.0,,121.0,,,,,,LOSS,127.28,18,-6.1,90.7
stock,2023-10-02,AAPL,173.5,166.0,189.0,,164.0,,,,,,WIN,171.22,32,10.4,80.3
stock,2023-10-02,SCO,17.0,15.8,21.0,,15.2,,,,,,NEVER_FILLED,,,,
stock,2023-10-04,LUXH,4.9,4.1,6.8,,3.9,,,,,,UNVERIFIABLE,,,,
stock,2023-10-04,VIRC,6.8,5.7,10.4,,5.4,,,,,,WIN,6.64,51,56.6,-4.7
stock,2023-10-05,GRPN,14.0,12.2,19.0,,11.8,,,,,,LOSS,14.0,3,-29.4,82.7
stock,2023-10-05,NVDA,446.0,429.0,466.0,488.0,422.0,,,,,,LOSS,44.05,0,1.4,342.3
stock,2023-10-09,EXC,38.4,36.0,42.0,45.0,35.0,,,,,,LOSS,38.1,49,-9.6,25.7
stock,2023-10-09,CPER,22.6,21.8,23.5,25.0,21.3,,,,,,WIN,22.55,30,4.2,65.4
stock,2023-10-10,BA,191.0,178.0,216.0,228.0,172.0,,,,,,WIN,190.01,29,13.7,19.2
stock,2023-10-20,HMY,5.0,4.4,6.9,,4.2,,,,,,WIN,4.86,92,42.0,231.1
stock,2023-10-20,DIA,332.5,328.0,338.0,340.0,326.0,,,,,,LOSS,332.5,5,-2.5,58.8
stock,2023-10-23,EDU,61.0,57.0,70.0,75.0,55.0,,,,,,WIN,59.16,16,18.3,-20.5
stock,2023-10-25,VFC,18.2,15.3,24.0,27.0,14.4,,,,,,LOSS,17.81,5,-26.4,-8.5
stock,2023-10-30,AAPL,170.5,162.0,184.0,193.0,158.0,,,,,,WIN,169.02,8,8.9,82.6
stock,2023-10-31,SMCI,238.0,215.0,259.0,268.0,211.0,,,,,,LOSS,23.64,0,1.3,15.2
stock,2023-11-01,VIRC,6.3,5.7,10.4,,5.4,,,,,,WIN,6.1,31,70.5,3.8
stock,2023-11-02,UCO,33.0,30.0,38.0,,28.0,,,,,,LOSS,31.99,10,-14.7,1.2
stock,2023-11-06,DIA,340.8,,346.0,,337.0,,,,,,WIN,340.8,6,1.5,54.9
stock,2023-11-10,NXPI,181.0,174.0,216.0,229.0,166.0,,,,,,WIN,181.0,19,19.3,51.0
stock,2023-11-14,TMHC,45.5,40.0,51.0,56.0,38.0,,,,,,WIN,44.54,21,14.5,61.3
stock,2023-11-15,U,30.0,26.0,36.0,42.0,23.3,,,,,,WIN,29.3,20,22.9,0.1
stock,2023-11-16,LNG,171.0,162.0,185.0,198.0,158.0,,,,,,LOSS,171.0,57,-7.6,43.8
stock,2023-11-16,CAVA,34.2,29.0,44.0,51.0,27.0,,,,,,WIN,33.72,26,30.5,128.0
stock,2023-11-17,SMCI,292.0,276.0,311.0,319.0,268.0,,,,,,LOSS,28.5,0,1.3,-4.5
stock,2023-11-17,PBR,16.0,14.9,19.2,21.5,13.8,,,,,,LOSS,15.7,143,-13.4,2.6
stock,2023-11-17,IWM,178.0,174.0,185.0,192.0,172.0,,,,,,WIN,177.45,9,4.3,67.7
stock,2023-11-20,CELH,53.2,47.0,66.0,72.0,43.0,,,,,,WIN,49.86,65,32.4,-33.5
stock,2023-11-21,VZ,37.2,34.5,44.0,47.0,33.0,,,,,,WIN,36.86,203,19.4,15.5
stock,2023-11-21,BABA,78.5,74.0,88.0,92.0,71.0,,,,,,LOSS,77.85,36,-10.8,23.5
stock,2023-11-22,BRCC,3.9,3.2,5.4,6.5,2.9,,,,,,WIN,3.9,115,38.5,-69.0
stock,2023-11-24,MARA,11.3,9.7,14.9,16.8,9.4,,,,,,WIN,11.04,6,35.0,12.3
stock,2023-11-27,ZM,65.3,60.0,74.0,79.0,57.0,,,,,,WIN,64.39,20,14.9,35.3
stock,2023-11-29,NCLH,14.9,13.0,17.0,18.9,11.4,,,,,,WIN,14.67,3,15.9,34.8
stock,2023-11-30,JNJ,154.5,147.0,165.0,173.0,144.0,,,,,,WIN,152.26,169,8.4,72.8
stock,2023-12-01,AXP,171.5,164.0,184.0,191.0,161.0,,,,,,WIN,170.67,12,7.8,106.2
stock,2023-12-01,CSCO,48.3,45.0,55.0,58.0,43.0,,,,,,WIN,48.28,219,13.9,133.4
stock,2023-12-04,MMYT,45.1,40.9,51.0,56.0,38.0,,,,,,WIN,42.41,37,20.3,37.4
stock,2023-12-04,KBR,53.1,49.3,58.0,,47.0,,,,,,WIN,52.5,52,10.5,-30.6
stock,2023-12-06,CAT,259.5,252.0,275.0,284.0,248.0,,,,,,WIN,256.8,6,7.1,275.2
stock,2023-12-06,NIO,8.0,7.35,9.5,10.4,6.9,,,,,,WIN,7.65,15,24.2,-37.4
stock,2023-12-06,STRL,68.8,62.5,74.0,79.0,59.8,,,,,,WIN,66.73,5,10.9,950.1
stock,2023-12-07,MMYT,44.3,41.8,49.0,,40.0,,,,,,WIN,43.41,27,12.9,34.2
stock,2023-12-07,SJM,120.7,112.0,129.0,136.0,108.0,,,,,,WIN,118.0,16,9.3,-1.5
stock,2023-12-08,JBL,118.0,110.0,129.0,136.0,106.0,,,,,,WIN,116.38,4,10.8,193.3
stock,2023-12-14,LPG,40.2,37.0,51.0,54.0,35.0,,,,,,LOSS,39.67,34,-11.9,-9.2
stock,2023-12-14,MHO,120.5,114.0,135.0,139.0,111.0,,,,,,WIN,117.26,7,15.1,33.8
stock,2023-12-14,TOL,104.9,98.0,118.0,124.0,96.0,,,,,,LOSS,99.18,26,-3.2,58.4
stock,2023-12-15,SYM,53.5,50.1,64.0,70.0,47.0,,,,,,LOSS,50.49,11,-7.9,-15.3
